State,Total Cases,Total Deaths,Population,PopulationWeighted Density,retail,grocery,parks,transit,workplaces,residential,age,low indust toxins,low pollution health risk,Chron Low Resp Death Rate,age 65 years and over,Race param 1,Race param 2,Race param 3,Race param 4,Obesity Rates,Average Relative Humidity,Average Dew Point,Average Annual Temperature (C),Average Annual Precipitation mm,State of emergency declared,Avge Spring Temp,Avge Spring Precip,relative humidity morning,relative humidity afternoon,UV Index
South Dakota,189743,1779,884659,1045.9,-38,-3,81,-36,-29,9,37.1,3,7,43.7,17,3,2,3.9,84,24.6,66.4,34.6,7.3,511,13-Mar,7.1,55,83,53,8
Tennessee,1351443,18773,6829174,1288.4,-43,-9,2,-42,-38,10,38.8,43,43,55.9,16.3,18,2.3,5.5,77.3,28.4,69.4,48.4,14.2,1376,12-Mar,14.1,131,82,50,9
Texas,4705025,119224,28995881,3138.6,-48,-23,-47,-53,-39,14,34.8,28,48,39.7,12.5,13.3,5.7,39.6,73.5,29.7,64.9,53.6,18.2,734,13-Mar,18.4,64,82,51,10
Utah,458768,3522,3205958,3429.9,-42,-13,16,-49,-43,10,31,50,33,33.2,11.1,1.8,3.7,14.2,85.7,25.1,51.7,28.6,9.2,310,6-Mar,8.6,29,67,40,10
Vermont,41989,2165,623989,947.2,-58,-34,-1,-69,-42,11,42.8,2,1,39.6,19.8,1.9,2.5,2,94.1,26.8,68.7,47.3,6.1,1085,16-Mar,5.3,86,73,53,7
Virginia,1149347,31550,8535519,3249.6,-44,-18,21,-56,-39,12,38.4,31,39,34.7,15.5,21.2,8.1,9.5,67.4,27.2,71.7,35.9,12.8,1125,12-Mar,12.3,99,80,46,5
Washington,1039393,43029,7614893,3344.8,-46,-21,-11,-56,-42,12,37.7,20,28,34.5,15,5.6,11.4,12.9,74.8,25.5,71.4,39.7,9.1,976,29-Feb,8.7,74,82,57,6
West Virginia,133085,3325,1792147,792.1,-40,-8,28,-36,-33,8,42.7,37,47,64.3,20,5,1.1,1.4,93,34.3,71.6,37.1,11,1147,4-Mar,10.5,103,77,52,9
Wisconsin,869102,17599,5822434,2598.5,-47,-18,124,-40,-33,10,39.6,23,36,37.8,17,7.6,3.5,6.9,85.3,28.8,69.7,42.8,6.2,829,12-Mar,6.1,69,81,53,1
Wyoming,43458,387,578759,998.5,-39,-11,22,-21,-31,9,38,7,6,58.7,17,1.4,1.4,10,91.5,27.4,57.1,26.9,5.6,328,12-Mar,4.9,36,65,40,9
