,State,Total Cases,Total Deaths,Population,PopulationWeighted Density,retail,grocery,parks,transit,workplaces,residential,age,low indust toxins,low pollution health risk,Chron Low Resp Death Rate,age 65 years and over,Race param 1,Race param 2,Race param 3,Race param 4,Obesity Rates,Average Relative Humidity,Average Dew Point,Average Annual Temperature (C),Average Annual Precipitation mm,State of emergency declared,Avge Spring Temp,Avge Spring Precip,relative humidity morning,relative humidity afternoon,UV Index
10,Hawaii,87528,1185,1415872,8479.7,-55,-26,-67,-76,-46,16,39.2,21,10,19.6,18.4,3.8,56.8,10.7,24.3,19.0,73.3,65.2,21.1,1618,45,20.3,151,69,55,10
11,Idaho,323299,4897,1787065,1488.8,-40,-14,30,-36,-39,10,36.6,17,13,44.1,15.9,1.3,2.6,12.7,89.9,24.2,72.4,39.8,6.9,481,54,6.4,44,69,36,7
12,Illinois,3374257,124996,12671821,6660.8,-50,-16,24,-52,-39,12,38.3,42,42,36.2,15.6,15.3,6.5,17.3,71.7,27.3,62.4,30.9,11.0,996,50,10.9,96,80,54,2
13,Indiana,1110105,50676,6732219,1740.0,-45,-17,54,-35,-37,10,37.9,48,44,57.2,16.0,11.1,2.9,7.1,82.8,31.4,70.9,42.7,10.9,1060,47,10.6,100,79,55,6
14,Iowa,686022,12215,3155070,1463.1,-39,1,134,-28,-29,8,38.2,25,30,43.8,17.0,4.8,3.1,6.1,90.2,31.1,72.0,43.0,8.8,864,50,9.0,83,75,52,7
15,Kansas,434876,7663,2913314,1772.6,-43,-18,25,-30,-34,10,36.9,8,35,50.4,15.9,7.5,3.7,12.0,84.0,29.3,65.7,43.6,12.4,733,50,12.0,76,79,49,9
16,Kentucky,608883,18331,4467673,1464.2,-39,-5,57,-37,-36,9,38.9,36,41,62.1,16.0,9.5,1.9,3.6,86.7,31.5,70.3,46.6,13.1,1242,47,12.8,117,76,51,8
17,Louisiana,1783830,88832,4648794,1931.2,-46,-10,-19,-54,-37,12,37.2,47,50,43.1,15.5,33.6,2.2,5.1,61.7,33.2,74.0,58.3,19.1,1528,52,19.1,133,86,58,12
18,Maine,77546,2644,1344212,881.7,-50,-23,20,-59,-34,10,44.9,16,8,45.6,20.6,2.1,1.7,1.7,94.3,25.9,71.1,39.9,5.0,1072,56,3.9,89,79,58,7
19,Maryland,1406149,59726,6045680,4555.0,-47,-25,35,-53,-42,14,38.8,22,11,31.0,15.0,32.0,7.6,10.4,54.7,26.6,68.8,45.2,12.3,1131,46,11.6,100,73,48,8
20,Massachusetts,2912138,191394,6892503,6585.6,-53,-27,25,-68,-42,14,39.4,24,15,30.9,16.5,9.6,7.8,12.3,77.3,24.0,71.7,34.4,8.8,1211,51,7.6,103,72,57,7
21,Michigan,3490424,194123,9986857,2527.3,-55,-24,92,-53,-44,11,39.8,41,37,44.1,17.2,15.2,3.9,5.2,78.3,30.8,72.1,38.0,6.9,833,52,5.9,67,80,56,3
22,Minnesota,804036,24471,5639632,2416.5,-46,-18,98,-58,-37,12,38.1,12,18,34.0,16.0,7.9,5.8,5.5,82.5,24.8,70.4,33.9,5.1,693,54,5.5,56,75,51,3
23,Mississippi,730842,35704,2976149,694.9,-43,-14,-8,-37,-35,11,37.7,38,25,59.9,15.9,38.9,1.3,2.9,58.1,35.2,69.2,45.4,17.4,1499,45,17.3,147,90,51,9
24,Missouri,987867,28691,6137428,1895.7,-43,-6,5,-40,-34,10,38.7,29,24,50.2,16.9,13.0,2.6,4.1,82.2,30.9,73.6,55.6,12.5,1071,54,12.4,105,80,52,7
25,Montana,79611,1391,1068778,1088.3,-45,-17,23,-40,-36,9,39.9,11,14,47.0,19.0,0.9,1.4,3.9,88.6,23.5,60.4,29.7,5.9,390,53,5.8,38,71,41,5
26,Nebraska,376869,4602,1934408,2285.2,-40,-8,56,-25,-27,9,36.6,9,26,47.7,15.8,5.9,3.3,11.1,86.4,28.8,70.6,50.4,9.3,599,54,9.0,66,81,51,9
27,Nevada,506811,15232,3080156,5419.5,-49,-22,-46,-64,-55,15,38.1,49,29,49.3,15.7,11.1,10.5,29.0,63.4,26.8,70.9,32.6,9.9,241,53,8.9,24,68,29,9
28,New Hampshire,123284,4993,1359711,1320.9,-48,-26,15,-57,-37,11,43.0,1,3,40.9,18.0,2.5,3.4,3.9,92.4,27.1,65.8,37.9,6.6,1103,54,5.8,90,81,47,6
29,New Jersey,5544776,333250,8882190,7940.6,-66,-11,26,-67,-45,16,40.0,39,16,28.0,16.1,15.0,10.7,20.6,66.9,26.2,70.4,36.2,11.5,1196,50,10.3,105,81,55,9
30,New Mexico,264728,8365,2096829,2108.8,-41,-11,-7,-33,-35,10,38.1,4,2,43.0,17.6,2.9,2.3,49.1,76.4,28.0,68.5,42.4,11.9,370,52,11.3,21,51,20,11
31,New York,6059282,223872,19453561,28161.5,-59,-28,-11,-68,-47,15,39.0,10,12,28.5,16.0,17.4,9.6,19.2,63.3,24.7,45.9,30.8,7.4,1062,48,6.4,87,79,55,9
32,North Carolina,1623871,36743,10488084,1181.9,-43,-14,5,-55,-38,11,38.9,32,20,42.6,16.3,23.1,3.6,9.6,68.4,28.3,38.3,27.5,15.0,1279,51,14.6,105,80,48,9
33,North Dakota,162057,2182,762062,1569.1,-50,-15,-2,-44,-28,11,35.2,19,17,34.9,15.3,3.9,2.4,3.6,85.7,28.6,70.7,39.4,4.7,452,54,5.1,38,79,48,7
34,Ohio,1391377,55512,11689100,2388.8,-46,-18,37,-39,-37,11,39.4,46,40,49.0,17.0,14.3,3.0,3.9,81.0,29.9,71.5,42.0,10.4,993,50,9.8,90,76,52,8
35,Oklahoma,636947,15348,3956971,1602.3,-41,-8,-3,-30,-35,10,36.7,18,22,63.5,15.7,9.3,2.8,10.9,72.2,32.6,64.0,46.8,15.3,927,56,15.1,98,78,47,10
36,Oregon,265017,6518,4217737,3113.8,-46,-18,-1,-44,-39,11,39.4,6,49,35.6,17.6,2.9,6.2,13.3,83.9,25.1,68.6,39.0,9.1,695,49,8.3,59,85,56,5
37,Pennsylvania,2356019,109279,12801989,4886.8,-50,-24,52,-51,-39,12,40.8,35,46,35.1,18.2,12.7,4.2,7.6,80.1,28.6,69.6,40.9,9.3,1089,47,8.6,93,73,49,8
38,Rhode Island,422425,15991,1059361,5034.0,-50,-25,4,-59,-37,13,40.1,15,5,31.2,17.3,8.2,4.3,15.9,80.7,27.9,71.4,41.6,10.1,1218,50,8.3,107,75,52,8
39,South Carolina,810602,20751,5148714,1018.7,-42,-11,-24,-41,-38,10,39.6,33,34,45.8,17.7,28.0,2.1,5.8,67.0,28.6,69.1,51.6,16.9,1264,54,16.7,97,84,43,8
40,South Dakota,189743,1779,884659,1045.9,-38,-3,81,-36,-29,9,37.1,3,7,43.7,17.0,3.0,2.0,3.9,84.0,24.6,66.4,34.6,7.3,511,54,7.1,55,83,53,8
41,Tennessee,1351443,18773,6829174,1288.4,-43,-9,2,-42,-38,10,38.8,43,43,55.9,16.3,18.0,2.3,5.5,77.3,28.4,69.4,48.4,14.2,1376,53,14.1,131,82,50,9
42,Texas,4705025,119224,28995881,3138.6,-48,-23,-47,-53,-39,14,34.8,28,48,39.7,12.5,13.3,5.7,39.6,73.5,29.7,64.9,53.6,18.2,734,54,18.4,64,82,51,10
43,Utah,458768,3522,3205958,3429.9,-42,-13,16,-49,-43,10,31.0,50,33,33.2,11.1,1.8,3.7,14.2,85.7,25.1,51.7,28.6,9.2,310,47,8.6,29,67,40,10
44,Vermont,41989,2165,623989,947.2,-58,-34,-1,-69,-42,11,42.8,2,1,39.6,19.8,1.9,2.5,2.0,94.1,26.8,68.7,47.3,6.1,1085,57,5.3,86,73,53,7
45,Virginia,1149347,31550,8535519,3249.6,-44,-18,21,-56,-39,12,38.4,31,39,34.7,15.5,21.2,8.1,9.5,67.4,27.2,71.7,35.9,12.8,1125,53,12.3,99,80,46,5
46,Washington,1039393,43029,7614893,3344.8,-46,-21,-11,-56,-42,12,37.7,20,28,34.5,15.0,5.6,11.4,12.9,74.8,25.5,71.4,39.7,9.1,976,41,8.7,74,82,57,6
47,West Virginia,133085,3325,1792147,792.1,-40,-8,28,-36,-33,8,42.7,37,47,64.3,20.0,5.0,1.1,1.4,93.0,34.3,71.6,37.1,11.0,1147,45,10.5,103,77,52,9
48,Wisconsin,869102,17599,5822434,2598.5,-47,-18,124,-40,-33,10,39.6,23,36,37.8,17.0,7.6,3.5,6.9,85.3,28.8,69.7,42.8,6.2,829,53,6.1,69,81,53,1
49,Wyoming,43458,387,578759,998.5,-39,-11,22,-21,-31,9,38.0,7,6,58.7,17.0,1.4,1.4,10.0,91.5,27.4,57.1,26.9,5.6,328,53,4.9,36,65,40,9
